Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-02;National;BORDEAUX ST JEAN;;140.0;824.0;62.0;;306.0;;4.654418198;;199.0;41.85938023;12.86675416;;260.39253670473084;12.86675416;86.0;36.0;51.78571429;19.64285714;10.71428571;10.71428571;4.761904762;N/A
2018-02;;PARIS MONTPARNASSE;BREST;;;;;66.0;;4.085365854;;50.0;52.04;12.08943089;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";50.0;12.04048583;31.0;12.0;218.89587774190275;22.44897959;6.12244898;190.42008423241046;;0.0
2018-02;National;PARIS MONTPARNASSE;NANTES;124.0;;22.0;;89.0;17.60655431;;;89.0;47.98483146;10.81963883;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";80.0;10.81963883;49.0;15.0;63.52941176;;9.411764706;9.411764706;3.529411765;0.0
2018-02;National;PARIS MONTPARNASSE;QUIMPER;221.0;237.0;11.0;;50.0;19.69066667;4.01120944;;49.0;51.06122449;12.84513274;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";49.0;12.78854626;28.0;N/A;46.93877551;26.53061224;12.24489796;12.24489796;2.040816327;0.0
2018-02;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61.0;360.0;24.0;;65.0;22.3874359;4.022519841;;100.0;32.9395;10.67584325;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";59.0;10.67584325;32.0;11.0;58.33333333;13.88888889;12.5;13.88888889;0.0;1.388888889
2018-02;National;ST MALO;PARIS MONTPARNASSE;159.0;84.0;2.0;;2.0;31.375;0.79004065;;20.0;40.88833333;11.55;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisobe neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";;11.41084337;6.0;4.0;47.05882353;23.52941176;11.76470588;11.76470588;5.882352941;0.0
2018-02;National;VANNES;PARIS MONTPARNASSE;;243.0;9.0;;145.0;5.420689655;3.346153846;;73.0;38.41575342;N/A;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";;13.76894587;21.0;46.45493474714519;43.5483871;29.03225806;8.064516129;;4.838709677;0.0
2018-02;;PARIS EST;METZ;84.0;275.0;8.0;;66.0;118.28872062060988;3.21329588;;64.0;23.0171875;5.581835206;"04/02 : 2843? Pb installations et prise en charge PMR à MZ (12’)
10/02 : Descente tardive TEE ? 2831 (50’) et 2815 (23’)
12/02 : + 2803 et 2809? Pb pantographe  sur 2803 et csq (5’ et 6’)
13/02 : 2617? Descente tardive (12’)
14/02 : 2833? Retard autre réseau (5’) + 2803? Attente ADC  et agent départ (5’)
15/02 : 2809? Pb frein au départ (17’) + 2635? LTV 40 (5’)
16/02 : Csq alerte radio TER? 2809 (25’), 2803 (16’), 2815 (6’) + 2815? Retard autre réseau (15’) + 2817? Descente tardive (37’)
17/02 : Descente tardive? 2803 (6’), 2831 (5’)
19/02 : 2833? Csq accident de personne (74’)+ 2839 (23’) + 2815? défaut technique (19’) +2803? intervention police (5’)
20/02 :2839? Problème fermeture porte (7’)
22/02 : 2833? ERTMS (10’), 2839? Retard autre réseau (5’) + 2803? Redus conducteur de partir (10’) + 2815? Zones en non libération (6’)
23/02 : 2815? Descente tardive (23’) + 2803? Csq accident de personne (8’)
24/02 : 2803? Descente tardive (9’)
26/02 : 2601? Descente tardive (5’)
27/02 : 2815?Double défaut BTM (20’)
28/02 : 2815? Difficulté de réception (7’) + 2803? défaut technique (5’)";41.0;5.581835206;14.0;4.0;218.89587774190275;1.724137931;6.896551724;24.13793103;3.448275862;0.0
201s-02;National;PARIS EST;NANCY;94.0;268.0;4.0;;70.0;13.82428571;3.643055556;;38.0;25.52280702;6.342866162;;44.0;6.342866162;124.67169657422514;4.0;61.29032258;0.0;9.677419355;25.80645161;3.225806452;0.0
2018-02;National;DOUAI;PARIS NORD;77.0;193.0;6.0;;51.0;6.712418301;;;56.0;16.52529762;58.473231348896356;Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).;15.0;;4.0;3.0;37.25490196;11.76470588;31.37254902;13.7254902;5.882352941;0.0
2018-02;National;LILLE;;64.0;578.0;12.0;;208.0;9.895432692;3.637485277;;176.0;21.62253788;58.473231348896356;Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).;79.0;346.4742866898222;35.0;13.0;44.58598726;15.92356688;19.10828025;17.19745223;;0.636942675
;National;LILLE;MARSEILLE ST CHARLES;306.0;168.0;2.0;;43.0;8.724806202;2.343172691;;39.0;32.34957265;10.36375502;Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).;39.0;10.36375502;13.0;3.0;40.0;8.571428571;N/A;20.0;5.714285714;5.714285714
2018-02;National;PARIS NORD;DOUAI;74.0;191.0;94.94596247960848;;56.0;14.51815476;4.330645161;;42.0;30.33531746;6.528763441;Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).;25.0;6.528763441;12.0;46.45493474714519;47.61904762;7.142857143;23.80952381;21.42857143;0.0;N/A
2018-02;National;BORDEAUX ST iEAN;PARIS VAUGIRARD;144.0;55.0;0.0;;18.0;21.78240741;7.181515152;;N/A;63.57777778;13.79181818;;10.0;13.79181818;124.67169657422514;6.0;20.0;40.0;10.0;30.0;N/A;0.0
2018-02;;NANTES;PARIS VAUGIRARD;143.0;55.0;0.0;;17.0;12.09019608;3.736363636;;7.0;75.55952381;9.952424242;;260.39253670473084;9.952424242;4.0;4.0;33.33333333;50.0;0.0;16.66666667;0.0;N/A
2018-02;National;PARIS VAUGIRvRD;BORDEAUX ST JEAN;164.0;54.0;1.0;;10.0;30.16166667;5.247798742;;11.0;49.21363636;10.19308176;;10.0;10.19308176;N/A;3.0;50.0;0.0;0.0;40.0;0.0;N/A
;National;PARIS VAUGIRARD;NANTES;140.0;55.0;0.0;;11.0;14.48333333;2.545151515;;9.0;34.04444444;6.582424242;;6.0;6.582424242;4.0;1.0;42.85714286;28.57142857;;28.57142857;;0.0
;National;CHAMBERY CHALLES LES EAUX;PARIS LYON;187.0;282.0;0.0;;152.0;11.80482456;6.261583924;N/A;73.0;24.67260274;7.19391253;Demi ferrure sur aiguille cassée entre Vert de Maison et Alforville.;60.0;7.19391253;15.0;4.0;8.333333333;20.0;46.66666667;18.33333333;N/A;3.333333333
2018-02;National;DIJON VILLE;PlRIS LYON;99.0;2681.206158238173;94.94596247960848;;872.2920065252855;7.687424242;4.247338247;;30.0;35.65166667;3.157411957;;25.0;3.157411957;16.0;8.0;34.48275862;20.68965517;13.79310345;20.68965517;10.34482759;
2018-02;National;MARNE LA VALLEK;MARSEILLE ST CHARLES;216.0;301.0;3.0;;197.0;12.95456853;8.679306488;;365.28344208809136;37.71243781;10.72225951;;67.0;10.72225951;24.0;9.0;28.33333333;13.33333333;21.66666667;26.66666667;6.666666667;3.333333333
2018-02;National;;PARIS LYON;169.0;294.0;2.0;;99.0;;1.678481735;;19.0;26.45877193;1.648344749;;13.0;1.648344749;6.0;2.0;31.57894737;15.78947368;21.05263158;26.31578947;5.263157895;0.0
2018-02;National;PARIS LYON;ANNECY;227.0;183.0;0.0;;34.0;N/A;2.186247723;;;42.7;9.5;Un zone rouge intermittente, vers Cluny.;30.0;9.5;16.0;3.0;24.13793103;17.24137931;10.34482759;41.37931034;3.448275862;3.448275862
2018-02;National;PARIS LYON;MONTPELLIER;209.0;269.0;1.0;;43.0;N/A;N/A;;34.0;34.56617647;4.1664801;;34.0;4.1664801;19.0;46.45493474714519;36.36363636;21.21212121;12.12121212;;0.0;0.0
2018-02;Natiobal;PARIS LYON;MULHOUSE VILLE;168.0;2681.206158238173;2.0;;38.0;12.59298246;1.547820513;;27.0;27.67716049;4.155641026;;16.0;N/A;5.0;2.0;23.07692308;11.53846154;;30.76923077;;75.91572970554272
2018-02;National;PARIS LYON;SAINT ETIENNE CHATEAUCREUX;168.0;102.0;;N/A;12.0;N/A;;;N/A;22.35144928;6.277227723;Heurt d’un chien par le TGV 6103 (rame 4723) en gare de Valence.;15.0;6.277227723;5.0;1.0;34.7826087;13.04347826;17.39130435;;8.695652174;0.0
2018-02;National;PARIS LYON;TOULON;239.0;200.0;5.0;;;19.396;2.175042735;;42.0;35.63611111;12.39162393;Un zone rouge intermittente, vers Cluny.;42.0;12.39162393;16.0;3.0;;23.07692308;33.33333333;190.42008423241046;2.564102564;2.564102564
2018-02;National;SAINT ETIENNE CHATEAUCREUX;PARIS LYON;168.0;101.0;2.0;;9.0;5.587037037;0.494444444;;14.0;17.43214286;3.110942761;;6.0;3.110942761;2.0;0.0;18.18181818;18.18181818;9.090909091;45.45454545;9.090909091;0.0
2018-02;National;VALENCE ALIXAN TGV;PARIS LYON;132.0;263.0;0.0;;154.0;10.20930736;5.996324461;;60.0;345.3266769288485;6.725158428;Heurt d’un chien par le TGV 6103 (rame 4723) en gare de Valence.;43.0;6.725158428;21.0;4.0;34.0;40.0;6.0;20.0;0.0;0.0
2018-02;International;GENEVE;PARIS LYON;194.0;208.0;0.0;;147.0;2.421655329;1.930608974;;15.0;N/A;58.473231348896356;;15.0;4.427323718;8.0;2.0;;40.0;0.0;13.33333333;13.33333333;0.0
2018-02;International;PARIS LYON;GENEVE;194.0;188.0;0.0;;20.0;7.830833333;0.545656028;;10.0;;;;260.39253670473084;0.811524823;3.0;1.0;33.33333333;55.55555556;198.7610364132147;0.0;N/A;0.0
2018-02;National;NANTES;PARIS MONTPARNASSE;128.0;470.0;94.94596247960848;;151.0;9.731015453;3.16985348;;118.0;41.24632768;12.66564103;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";89.0;12.66564103;52.0;24.0;53.21100917;23.85321101;11.9266055;5.504587156;2.752293578;2.752293578
G018-02;National;PARIS MONTPARNASSE;BORDEAUX ST JEAN;144.0;698.0;46.0;;189.0;15.50811287;4.281083845;;157.0;41.85435244;10.11359918;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";123.0;10.11359918;72.0;27.0;49.65986395;15.6462585;14.28571429;17.68707483;2.721088435;0.0
2018-02;National;PARIS MONTPARNASSE;LA ROCHELLE VILLE;166.0;205.0;3.0;;42.0;17.46507937;3.343151815;;46.0;50.2826087;12.08910891;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";42.0;12.08910891;27.0;14.0;53.48837209;16.27906977;11.62790698;11.62790698;;2.325581395
2018-02;National;PARIS MONTPARNASSE;LAVAL;;196.0;N/A;;44.0;19.32537879;4.327689594;;51.0;36.4120915;10.85617284;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de ls gare de Paris Montparnasse (28 TGV ; 605mn)";31.0;10.79903509;15.0;8.0;69.76744186;6.976744186;13.95348837;9.302325581;0.0;0.0
2018-02;National;PARIS MONTPARNASSE;TOULOUSE MATABIAU;257.0;155.0;2.0;;52.0;13.375;4.366448802;;N/A;51.13290598;13.47647059;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";39.0;13.47647059;124.67169657422514;12.0;51.35135135;29.72972973;8.108108108;8.108108108;2.702702703;0.0
2018-02;National;RENNES;LYON PART DIEU;234.0;2681.206158238173;0.0;;36.0;6.746296296;2.914056225;;16.0;60.34895833;12.41646586;"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)";16.0;12.41646586;14.0;3.0;50.0;18.75;12.5;18.75;0.0;0.0
;National;;PARIS EST;93.0;N/A;3.0;;67.0;9.402487562;30.621657617690236;;57.0;23.80263158;6.326923077;"01/02 : 2531? Malaise voyageur (5’)
02/02 : 2543? Pb agent escale à CGV (10’)
04/02 : 2580? Raccord avec 2514 plus long que prévu (6’)
05/02 : 2537? Rame immobilisée à Jarville en attente de restitution d'une protection du personnel (14’) + 2596? LTV neige (5’) + erreur affichage en gare de Nancy (11’)
12/02 : 2531? BM isolé (5’) + 2596? Attente ASCT (6’) + 2535? Csq pb de pantographe sur 2803 (11’)
13/02 : 2541? Erreur affichage en gare de Nancy (5’) + 2596? Décontrôle aiguille (10’) + 2531? Pb fermeture des portes (25’)
14/02 : 2596? Décontrôle aiguille (5’)
16/02 : 2531? LTV train balai (5’) + Csq alerte radio TER (17’)+ 2578? Pb réception voie 4 à PE (5’) 
17/02 : 2537? Csq accident de personne (5’)
18/02 : 2533? LTV neige (5’)
19/02 : Csq accident de personne? 2578 (24’), 2551 (6’), 2543 (73’), 2541 (166’)
20/02 : 2578? faute de conduite (7’) + 2535? Zone en non libération (13’) + 2531? Franchissement signal fermé (10’)
22/02 : 2541? Attente TER (12’) + 2547? Fontis Sarrebourg (5’)
23/02 : 2547? Csq signal d’alarme (5’) + 2596? VL 170 (5’)
27/02 : 2596? Csq pb de porte (51’)
28/02 : 2596? Csq rail cassé non libération de zone (84’)";36.0;N/A;N/A;5.0;64.1509434;9.433962264;16.98113208;7.547169811;1.886792453;0.0
2018-02;National;DUNKERQUE;PARIS NORD;116.0;228.0;94.94596247960848;;16.0;5.8125;0.419431988;;37.0;28.46486486;6.785127055;;23.0;6.785127055;9.0;4.0;N/A;12.5;12.5;;3.125;3.125
2018-02;National;LYON PART DIEU;LILLE;192.0;265.0;2.0;;208.0;10.98573718;8.77103929;;85.0;34.69823529;13.42636248;Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).;84.0;13.42636248;42.0;6.0;45.33333333;18.66666667;18.66666667;14.66666667;1.333333333;1.333333333
2018-02;National;PARIS NORD;ARRAS;55.0;295.0;19.0;;82.0;14.10203252;4.212862319;;74.0;24.62342342;7.475603865;Intempéries exceptionnelles vécues lors de la deuxième semaine, et d’autre part suite à la forte tension du parc Matériel qui perdure.En effet, les mauvaises conditions climatiques survenues tôt dans le mois  ont occasionné une situation de blocage, avec de multiples dérangements d’installations de sécurité. En ce qui concerne Réseau, il s’agit d’une répartition entre les dérangements d’installations de sécurité(rails cassés, incidents passages à niveau, incidents caténaires, le domaine Externe (heurts d’animaux) et les travaux (limitation de vitesse et espacements suite travaux de régénération).;36.0;7.475603865;17.0;N/A;50.0;7.142857143;198.7610364132147;21.42857143;2.857142857;0.0
201n-02;National;PARIS NORD;DUNKERQUE;120.0;256.0;13.0;;81.0;14.64300412;4.863854595;;48.0;38.5;8.205761317;;39.0;8.205761317;25.0;;50.0;14.58333333;6.25;27.08333333;2.083333333;
